# WAVELENGTH    FLUX        
  1710.052368   5.3272E-15  
  1711.423096   1.1891E-14  
  1712.793823   3.6315E-15  
  1714.164673   7.349E-15   
  1715.5354     5.9931E-15  
  1716.90625    1.6594E-14  
  1718.2771     2.3335E-15  
  1719.647949   8.8755E-15  
  1721.018799   1.4074E-14  
  1722.389648   1.3082E-14  
  1723.760498   1.3095E-14  
  1725.13147    1.1904E-14  
  1726.502319   1.5977E-14  
  1727.873291   6.2525E-15  
  1729.244263   1.0513E-14  
  1730.615234   9.8121E-15  
  1731.986084   1.3178E-14  
  1733.357178   6.5741E-15  
  1734.728149   1.0185E-14  
  1736.099121   8.0376E-15  
  1737.470093   2.7715E-15  
  1738.841187   9.4324E-15  
  1740.212158   1.6258E-14  
  1741.583252   2.7533E-15  
  1742.954346   6.9097E-15  
  1744.325439   5.1111E-15  
  1745.696533   1.4558E-14  
  1747.067627   1.0358E-14  
  1748.438721   8.7709E-15  
  1749.809937   1.3844E-14  
  1751.18103    5.989E-15   
  1752.552246   7.9104E-15  
  1753.92334    9.5741E-15  
  1755.294556   9.496E-15   
  1756.665771   7.4761E-15  
  1758.036987   3.6385E-15  
  1759.408203   4.494E-15   
  1760.779419   8.3763E-15  
  1762.150757   8.993E-15   
  1763.521973   1.0979E-14  
  1764.893311   1.034E-14   
  1766.264526   1.3836E-14  
  1767.635864   6.4341E-15  
  1769.007202   1.1807E-14  
  1770.37854    7.1586E-15  
  1771.749878   5.4009E-15  
  1773.121216   1.4141E-14  
  1774.492554   4.5328E-15  
  1775.864014   7.2556E-15  
  1777.235352   6.9375E-15  
  1778.606812   1.1128E-14  
  1779.978149   3.5878E-15  
  1781.349609   7.6466E-15  
  1782.721069   9.3755E-15  
  1784.092529   1.2841E-14  
  1785.463989   9.8113E-15  
  1786.835449   7.502E-15   
  1788.206909   7.103E-15   
  1789.578491   3.2503E-15  
  1790.949951   5.4808E-15  
  1792.321533   9.7774E-15  
  1793.692993   7.2493E-15  
  1795.064575   6.8673E-15  
  1796.436157   7.2275E-15  
  1797.807739   1.0967E-14  
  1799.179321   9.3939E-15  
  1800.550903   8.0328E-15  
  1801.922485   4.9025E-15  
  1803.294067   9.3271E-15  
  1804.665771   1.4592E-14  
  1806.037354   6.7527E-15  
  1807.409058   4.8724E-15  
  1808.780762   8.898E-15   
  1810.152466   7.4938E-15  
  1811.524048   1.1996E-14  
  1812.895752   6.9524E-15  
  1814.267578   4.2994E-15  
  1815.639282   8.1136E-15  
  1817.010986   8.5719E-15  
  1818.38269    8.5265E-15  
  1819.754517   7.5746E-15  
  1821.126221   1.1477E-14  
  1822.498047   1.1338E-14  
  1823.869873   7.2265E-15  
  1825.241699   8.0108E-15  
  1826.613525   9.9719E-15  
  1827.985352   9.6009E-15  
  1829.357178   5.4013E-15  
  1830.729004   8.3049E-15  
  1832.10083    1.1095E-14  
  1833.472778   3.4269E-15  
  1834.844604   1.1872E-14  
  1836.216553   1.093E-14   
  1837.588379   8.5454E-15  
  1838.960327   9.6233E-15  
  1840.332275   9.6445E-15  
  1841.704224   9.76E-15    
  1843.076172   2.9479E-15  
  1844.44812    9.0781E-15  
  1845.820068   1.2125E-14  
  1847.192139   8.745E-15   
  1848.564087   3.4879E-15  
  1849.936035   7.0391E-15  
  1851.308105   7.3962E-15  
  1852.680176   7.3202E-15  
  1854.052124   1.178E-14   
  1855.424194   1.1206E-14  
  1856.796265   7.6382E-15  
  1858.168335   7.6757E-15  
  1859.540405   1.117E-14   
  1860.912476   1.246E-14   
  1862.284546   4.1918E-15  
  1863.656738   8.4118E-15  
  1865.028809   1.2094E-14  
