# WAVELENGTH    FLUX        
  1710.760986   3.4534E-14  
  1712.131836   3.5483E-14  
  1713.502563   3.286E-14   
  1714.873291   2.8726E-14  
  1716.244141   2.5398E-14  
  1717.61499    2.4086E-14  
  1718.985718   3.2858E-14  
  1720.356567   2.8646E-14  
  1721.727417   3.1711E-14  
  1723.098267   3.1708E-14  
  1724.469238   2.9791E-14  
  1725.840088   2.8755E-14  
  1727.210938   3.8288E-14  
  1728.581909   2.9379E-14  
  1729.952759   3.897E-14   
  1731.32373    3.7406E-14  
  1732.694702   4.162E-14   
  1734.065674   3.3207E-14  
  1735.436646   4.2044E-14  
  1736.807617   4.0332E-14  
  1738.178711   3.8169E-14  
  1739.549683   5.0403E-14  
  1740.920776   4.7748E-14  
  1742.291748   5.3271E-14  
  1743.662842   4.1192E-14  
  1745.033936   3.5659E-14  
  1746.405029   5.5634E-14  
  1747.776123   5.7495E-14  
  1749.147217   4.8619E-14  
  1750.518311   5.6903E-14  
  1751.889526   5.8642E-14  
  1753.26062    5.8497E-14  
  1754.631836   6.4284E-14  
  1756.003052   6.5173E-14  
  1757.374268   5.8891E-14  
  1758.745361   5.2912E-14  
  1760.116577   6.2092E-14  
  1761.487915   6.2283E-14  
  1762.859131   5.8027E-14  
  1764.230347   5.3812E-14  
  1765.601685   5.2909E-14  
  1766.9729     5.8924E-14  
  1768.344238   6.8584E-14  
  1769.715576   6.7914E-14  
  1771.086792   6.6964E-14  
  1772.45813    7.0355E-14  
  1773.829468   6.9193E-14  
  1775.200928   7.9774E-14  
  1776.572266   8.1745E-14  
  1777.943604   7.7774E-14  
  1779.315063   8.1607E-14  
  1780.686401   8.7279E-14  
  1782.057861   7.8159E-14  
  1783.429321   8.024E-14   
  1784.800781   7.9762E-14  
  1786.172241   8.3973E-14  
  1787.543701   7.724E-14   
  1788.915161   8.8138E-14  
  1790.286621   9.0982E-14  
  1791.658203   9.9341E-14  
  1793.029663   9.0164E-14  
  1794.401245   8.9155E-14  
  1795.772705   9.7122E-14  
  1797.144287   9.9393E-14  
  1798.515869   9.0253E-14  
  1799.887451   9.8954E-14  
  1801.259033   1.0603E-13  
  1802.630615   1.0899E-13  
  1804.002197   9.7283E-14  
  1805.373901   9.9542E-14  
  1806.745483   8.1683E-14  
  1808.117188   7.5462E-14  
  1809.48877    8.9E-14     
  1810.860474   9.9282E-14  
  1812.232178   1.035E-13   
  1813.603882   1.0037E-13  
  1814.975586   9.666E-14   
  1816.34729    1.0294E-13  
  1817.718994   9.784E-14   
  1819.090698   9.8153E-14  
  1820.462524   9.3719E-14  
  1821.834229   9.8645E-14  
  1823.206055   1.0558E-13  
  1824.577759   1.1313E-13  
  1825.949585   1.1251E-13  
  1827.321411   1.0327E-13  
  1828.693237   1.0194E-13  
  1830.065063   1.1185E-13  
  1831.43689    1.15E-13    
  1832.808716   1.1452E-13  
  1834.180664   1.1898E-13  
  1835.55249    1.1969E-13  
  1836.924438   1.1097E-13  
  1838.296265   1.1967E-13  
  1839.668213   1.0547E-13  
  1841.040161   9.7485E-14  
  1842.411987   9.8417E-14  
  1843.783936   1.0288E-13  
  1845.155884   9.7283E-14  
  1846.527954   8.6248E-14  
  1847.899902   7.7325E-14  
  1849.271851   8.29E-14    
  1850.643799   8.2052E-14  
  1852.015869   7.8794E-14  
  1853.387817   9.6339E-14  
  1854.759888   1.1361E-13  
  1856.131958   1.2164E-13  
  1857.504028   1.2573E-13  
  1858.876099   1.2022E-13  
  1860.248169   1.2369E-13  
  1861.620239   1.3291E-13  
  1862.99231    1.2484E-13  
  1864.36438    1.2662E-13  
  1865.73645    1.1914E-13  
  1867.108643   1.3802E-13  
  1868.480713   1.4724E-13  
  1869.852905   1.4153E-13  
  1871.225098   1.3937E-13  
  1872.597168   1.3724E-13  
  1873.96936    1.4098E-13  
  1875.341553   1.3367E-13  
  1876.713745   1.2566E-13  
  1878.085938   1.3279E-13  
  1879.45813    1.4366E-13  
  1880.830444   1.4256E-13  
  1882.202637   1.4627E-13  
  1883.574829   1.5109E-13  
  1884.947144   1.5392E-13  
  1886.319336   1.6429E-13  
  1887.69165    1.617E-13   
  1889.063965   1.545E-13   
  1890.436279   1.5527E-13  
  1891.808472   1.5747E-13  
  1893.180786   1.5964E-13  
  1894.553101   1.6171E-13  
  1895.925537   1.6444E-13  
  1897.297852   1.5652E-13  
  1898.670166   1.519E-13   
  1900.04248    1.4217E-13  
  1901.414917   1.3596E-13  
  1902.787231   1.4787E-13  
  1904.159668   1.6258E-13  
  1905.532104   1.6289E-13  
  1906.904419   1.6309E-13  
  1908.276855   1.6731E-13  
  1909.649292   1.6708E-13  
  1911.021729   1.5794E-13  
  1912.394165   1.6545E-13  
  1913.766602   1.7504E-13  
  1915.13916    1.7498E-13  
  1916.511597   1.7857E-13  
  1917.884033   1.8216E-13  
  1919.256592   1.817E-13   
  1920.629028   1.9076E-13  
  1922.001587   1.8663E-13  
  1923.374023   1.8734E-13  
  1924.746582   1.8232E-13  
  1926.119141   1.823E-13   
  1927.491699   1.7947E-13  
  1928.864258   1.7691E-13  
  1930.236816   1.5106E-13  
  1931.609375   1.2415E-13  
  1932.981934   1.3105E-13  
  1934.354492   1.5112E-13  
  1935.727173   1.4599E-13  
  1937.099731   1.4741E-13  
  1938.472412   1.6854E-13  
  1939.844971   1.9994E-13  
  1941.217651   1.9731E-13  
  1942.59021    2.1155E-13  
  1943.962891   2.1257E-13  
  1945.335571   2.0791E-13  
  1946.708252   2.0395E-13  
  1948.080933   2.1283E-13  
  1949.453613   2.1326E-13  
  1950.826294   2.0558E-13  
  1952.198975   2.0522E-13  
  1953.571655   2.0757E-13  
  1954.944458   2.1027E-13  
  1956.317139   2.1018E-13  
  1957.689819   2.1771E-13  
  1959.062622   2.0532E-13  
  1960.435303   2.0572E-13  
  1961.808105   2.0317E-13  
  1963.180908   2.0162E-13  
  1964.553589   2.1479E-13  
  1965.926392   2.2272E-13  
  1967.299194   2.3972E-13  
  1968.671997   2.3146E-13  
  1970.0448     2.378E-13   
  1971.417603   2.2581E-13  
  1972.790405   2.2929E-13  
  1974.16333    2.2769E-13  
  1975.536133   2.23E-13    
  1976.908936   2.2154E-13  
  1978.28186    2.1134E-13  
  1979.654663   2.1218E-13  
  1981.027588   2.141E-13   
  1982.400391   2.2421E-13  
  1983.773315   2.1948E-13  
  1985.14624    2.2019E-13  
  1986.519043   2.1715E-13  
  1987.891968   2.1965E-13  
  1989.264893   2.1012E-13  
  1990.637817   2.1871E-13  
  1992.010742   2.2563E-13  
  1993.383667   2.2898E-13  
  1994.756592   2.2669E-13  
  1996.129639   2.2977E-13  
  1997.502563   2.3938E-13  
  1998.875488   2.3966E-13  
  2000.248535   2.3763E-13  
  2001.62146    2.3282E-13  
  2002.994507   2.3749E-13  
  2004.367432   2.3432E-13  
  2005.740479   2.3344E-13  
  2007.113403   2.4431E-13  
  2008.48645    2.3197E-13  
  2009.859497   2.3912E-13  
  2011.232544   2.4396E-13  
  2012.605591   2.2684E-13  
  2013.978638   2.4521E-13  
  2015.351685   2.4775E-13  
  2016.724731   2.4596E-13  
  2018.097778   2.4177E-13  
  2019.470825   2.5536E-13  
  2020.843872   2.5153E-13  
  2022.217041   2.4698E-13  
  2023.590088   2.4563E-13  
  2024.963135   2.4829E-13  
  2026.336304   2.2453E-13  
  2027.709351   2.188E-13   
  2029.08252    2.5948E-13  
  2030.455688   2.5835E-13  
  2031.828735   2.6626E-13  
  2033.201904   2.6488E-13  
  2034.575073   2.5755E-13  
  2035.948242   2.5279E-13  
  2037.321411   2.6596E-13  
  2038.694458   2.7275E-13  
  2040.067627   2.7114E-13  
  2041.440796   2.597E-13   
  2042.814087   2.6912E-13  
  2044.187256   2.8691E-13  
  2045.560425   2.8541E-13  
  2046.933594   2.9541E-13  
  2048.306885   2.9592E-13  
  2049.679932   2.9283E-13  
  2051.053223   2.9717E-13  
  2052.426514   2.9647E-13  
  2053.799805   2.949E-13   
  2055.172852   2.8711E-13  
  2056.546143   2.7142E-13  
  2057.919434   2.7046E-13  
  2059.292725   2.6985E-13  
  2060.666016   2.7872E-13  
  2062.039307   2.7841E-13  
  2063.412354   2.5687E-13  
  2064.785645   2.7461E-13  
  2066.158936   2.9004E-13  
  2067.532227   2.8485E-13  
  2068.905518   2.9631E-13  
  2070.278809   2.9678E-13  
  2071.6521     3.0568E-13  
  2073.025635   3.1252E-13  
  2074.398926   3.1403E-13  
  2075.772217   3.1526E-13  
  2077.145508   3.266E-13   
  2078.518799   3.2857E-13  
  2079.89209    3.1741E-13  
  2081.265381   3.2267E-13  
  2082.638916   3.1857E-13  
  2084.012207   3.177E-13   
  2085.385498   3.1474E-13  
  2086.759033   3.1723E-13  
  2088.132324   3.2645E-13  
  2089.505615   3.2641E-13  
  2090.87915    3.266E-13   
  2092.252441   3.2175E-13  
  2093.625732   3.2535E-13  
  2094.999268   3.1753E-13  
  2096.372559   3.1498E-13  
  2097.746094   3.2842E-13  
  2099.119385   3.2493E-13  
  2100.49292    3.3058E-13  
  2101.866211   3.1715E-13  
  2103.239746   3.3274E-13  
  2104.613037   3.1223E-13  
  2105.986572   3.3851E-13  
  2107.359863   3.4561E-13  
  2108.733398   3.1906E-13  
  2110.106934   3.0043E-13  
  2111.480225   3.0889E-13  
  2112.85376    3.1744E-13  
  2114.227295   3.2022E-13  
  2115.600586   3.1884E-13  
  2116.974121   3.3627E-13  
  2118.347656   3.6434E-13  
  2119.721191   3.4815E-13  
  2121.094727   3.5826E-13  
  2122.468018   3.501E-13   
  2123.841553   3.159E-13   
  2125.215088   2.6919E-13  
  2126.588623   2.934E-13   
  2127.962158   3.3636E-13  
  2129.335693   3.3356E-13  
  2130.709229   3.2202E-13  
  2132.08252    3.0062E-13  
  2133.456055   2.987E-13   
  2134.82959    2.8855E-13  
  2136.203125   2.7169E-13  
  2137.57666    3.0801E-13  
  2138.950195   3.2665E-13  
  2140.32373    3.136E-13   
  2141.697266   3.2856E-13  
  2143.071045   3.5285E-13  
  2144.44458    3.5274E-13  
  2145.818115   3.4878E-13  
  2147.19165    3.4141E-13  
  2148.565186   3.3572E-13  
  2149.938721   3.4226E-13  
  2151.312256   3.3687E-13  
  2152.685791   3.2373E-13  
  2154.05957    3.4324E-13  
  2155.433105   3.5527E-13  
  2156.806641   3.4816E-13  
  2158.180176   3.4366E-13  
  2159.553711   3.2602E-13  
  2160.92749    3.1184E-13  
  2162.301025   3.4078E-13  
  2163.674561   3.5459E-13  
  2165.04834    3.4889E-13  
  2166.421875   3.3357E-13  
  2167.79541    3.1821E-13  
  2169.169189   3.2065E-13  
  2170.542725   3.2429E-13  
  2171.91626    3.4325E-13  
  2173.290039   3.4247E-13  
  2174.663574   3.3925E-13  
  2176.037109   3.2917E-13  
  2177.410889   3.3482E-13  
  2178.784424   3.3717E-13  
  2180.158203   3.5921E-13  
  2181.531738   3.7916E-13  
  2182.905518   4.038E-13   
  2184.279053   4.0735E-13  
  2185.652832   3.7842E-13  
  2187.026367   3.7506E-13  
  2188.400146   3.4341E-13  
  2189.773682   3.7097E-13  
  2191.147461   3.8854E-13  
  2192.520996   3.8819E-13  
  2193.894775   3.9125E-13  
  2195.268311   4.1909E-13  
  2196.64209    4.2927E-13  
  2198.015625   4.1526E-13  
  2199.389404   4.2277E-13  
  2200.763184   4.2465E-13  
  2202.136719   3.9556E-13  
  2203.510498   4.0961E-13  
  2204.884277   4.2926E-13  
  2206.257812   4.1563E-13  
  2207.631592   3.9657E-13  
  2209.005371   3.7607E-13  
  2210.378906   3.6075E-13  
  2211.752686   3.3508E-13  
  2213.126465   3.1799E-13  
  2214.5        3.7594E-13  
  2215.873779   3.7509E-13  
  2217.247559   3.7726E-13  
  2218.621338   3.4947E-13  
  2219.994873   3.7417E-13  
  2221.368652   4.0114E-13  
  2222.742432   4.0373E-13  
  2224.116211   4.0864E-13  
  2225.489746   4.032E-13   
  2226.863525   4.081E-13   
  2228.237305   4.0564E-13  
  2229.611084   4.0786E-13  
  2230.984863   4.2266E-13  
  2232.358398   4.2811E-13  
  2233.732178   4.362E-13   
