# WAVELENGTH    FLUX         
  1710.563477   1.524E-15    
  1711.934326   -3.4461E-15  
  1713.305298   -2.6628E-15  
  1714.676147   1.6236E-17   
  1716.046997   -6.5865E-15  
  1717.417969   -1.2256E-14  
  1718.788818   -3.5665E-15  
  1720.15979    -1.1523E-15  
  1721.530762   -1.9541E-15  
  1722.901733   -8.5146E-15  
  1724.272705   -8.3244E-15  
  1725.643677   4.8407E-15   
  1727.014648   -1.7514E-15  
  1728.385742   -1.7357E-15  
  1729.756714   -1.7014E-15  
  1731.127808   1.1473E-15   
  1732.498901   -6.2164E-15  
  1733.869995   -5.6575E-15  
  1735.240967   -5.7518E-15  
  1736.612183   -7.4789E-15  
  1737.983276   -4.4717E-15  
  1739.35437    -3.5561E-15  
  1740.725464   -2.2896E-15  
  1742.09668    2.8786E-15   
  1743.467773   4.1829E-15   
  1744.838989   8.9313E-16   
  1746.210205   -1.0269E-15  
  1747.581421   1.1253E-15   
  1748.952637   2.8733E-15   
  1750.323853   2.6073E-15   
  1751.695068   -3.6948E-15  
  1753.066406   -5.4428E-16  
  1754.437622   9.3187E-15   
  1755.80896    1.9185E-15   
  1757.180176   1.731E-15    
  1758.551514   2.9745E-15   
  1759.922852   9.4578E-16   
  1761.294189   -2.0516E-15  
  1762.665527   2.39E-15     
  1764.036865   -2.233E-16   
  1765.408325   7.0527E-15   
  1766.779663   5.4482E-15   
  1768.151001   6.4713E-15   
  1769.522461   2.4527E-15   
  1770.893921   -3.2898E-15  
  1772.265381   -4.888E-16   
  1773.636719   3.0185E-15   
  1775.008301   -2.1235E-15  
  1776.379761   6.0877E-15   
  1777.751221   6.774E-15    
  1779.122681   5.4869E-15   
  1780.494263   1.4824E-15   
  1781.865723   6.7405E-15   
  1783.237305   1.7462E-15   
  1784.608765   -1.779E-15   
  1785.980347   1.9102E-15   
  1787.351929   3.5415E-15   
  1788.723511   1.9357E-15   
  1790.095093   2.5798E-16   
  1791.466797   1.0362E-15   
  1792.838379   9.4872E-15   
  1794.209961   2.6792E-15   
  1795.581665   1.5514E-14   
  1796.953247   1.0314E-15   
  1798.324951   4.1271E-16   
  1799.696655   1.3358E-14   
  1801.068359   -2.8475E-15  
  1802.440063   1.4325E-15   
  1803.811768   1.6435E-15   
  1805.183472   3.1398E-17   
  1806.555176   4.1171E-15   
  1807.927002   3.9959E-15   
  1809.298706   3.1389E-16   
  1810.670532   2.8362E-15   
  1812.042358   3.8573E-15   
  1813.414062   3.3495E-15   
  1814.785889   -2.7421E-15  
  1816.157715   3.0227E-15   
  1817.529541   5.7188E-15   
  1818.901367   9.7137E-15   
  1820.273315   8.2151E-15   
  1821.645142   6.5146E-15   
  1823.016968   3.9084E-15   
  1824.388916   5.3216E-15   
  1825.760864   3.0137E-15   
  1827.13269    4.3731E-15   
  1828.504639   3.6491E-16   
  1829.876587   2.8852E-15   
  1831.248535   4.2419E-15   
  1832.620483   5.6224E-15   
  1833.992432   8.3474E-16   
  1835.36438    1.1134E-15   
  1836.73645    4.2973E-15   
  1838.108398   4.4888E-15   
  1839.480469   3.1446E-15   
  1840.852417   4.1621E-15   
  1842.224487   2.1751E-15   
  1843.596558   3.5263E-15   
  1844.968628   2.6169E-15   
  1846.340698   1.1522E-15   
  1847.712769   -1.5878E-15  
  1849.084839   6.7151E-17   
  1850.456909   3.518E-15    
  1851.828979   7.6104E-15   
  1853.201172   6.048E-15    
  1854.573242   4.7995E-15   
  1855.945435   7.3644E-15   
  1857.317627   7.1453E-15   
  1858.689697   4.7011E-15   
  1860.06189    4.771E-15    
  1861.434082   2.5767E-15   
  1862.806274   5.0971E-15   
  1864.178467   5.2077E-15   
  1865.550659   2.8603E-15   
  1866.922974   6.0034E-15   
  1868.295166   1.3033E-15   
  1869.66748    3.7535E-15   
  1871.039673   5.7201E-15   
  1872.411987   2.2415E-15   
  1873.78418    4.6984E-15   
  1875.156494   2.4117E-15   
  1876.528809   6.0662E-15   
  1877.901123   3.8345E-15   
  1879.273438   6.1598E-15   
  1880.645752   3.704E-15    
  1882.018066   3.4549E-15   
  1883.390381   6.6004E-15   
  1884.762817   3.9478E-15   
  1886.135132   4.1858E-15   
  1887.507568   3.6099E-15   
  1888.879883   3.5315E-15   
  1890.252319   4.7065E-15   
  1891.624756   4.6729E-15   
  1892.997192   4.5267E-15   
  1894.369629   5.7549E-15   
  1895.742065   3.4308E-15   
